Season,Round,Region Number,Region Name,Seed,Score,School,School,Score,Seed,,,
1997-1998,1,4,South,1,99,duke,radford,63,16,,,
1997-1998,1,4,South,2,82,kentucky,south-carolina-state,67,15,,,
1997-1998,1,4,South,3,80,michigan,davidson,61,14,,,
1997-1998,1,4,South,4,79,new-mexico,butler,62,13,,,
1997-1998,1,4,South,5,63,syracuse,iona,61,12,,,
1997-1998,1,4,South,6,65,ucla,miami-(fl),62,11,,,
1997-1998,1,4,South,7,46,massachusetts,saint-louis,51,10,,,
1997-1998,1,4,South,8,74,oklahoma-state,george-washington,59,9,,,
1997-1998,2,1,East,1,93,north-carolina,charlotte,83,8,,,
1997-1998,2,1,East,2,78,connecticut,indiana,68,7,,,
1997-1998,2,1,East,14,66,richmond,washington,87,11,,,
1997-1998,2,1,East,4,63,michigan-state,princeton,56,5,,,
1997-1998,2,2,West,1,82,arizona,illinois-state,49,9,,,
1997-1998,2,2,West,2,74,cincinnati,west-virginia,75,10,,,
1997-1998,2,2,West,3,75,utah,arkansas,69,6,,,
1997-1998,2,2,West,4,67,maryland,illinois,61,5,,,
1997-1998,2,3,Midwest,1,75,kansas,rhode-island,80,8,,,
1997-1998,2,3,Midwest,2,80,purdue,detroit-mercy,65,10,,,
1997-1998,2,3,Midwest,3,83,stanford,western-michigan,65,11,,,
1997-1998,2,3,Midwest,13,83,valparaiso,florida-state,77,12,,,
1997-1998,2,4,South,1,79,duke,oklahoma-state,73,8,,,
1997-1998,2,4,South,2,88,kentucky,saint-louis,61,10,,,
1997-1998,2,4,South,3,82,michigan,ucla,85,6,,,
1997-1998,2,4,South,4,46,new-mexico,syracuse,56,5,,,
1997-1998,3,1,East,1,73,north-carolina,michigan-state,58,4,,,
1997-1998,3,1,East,2,75,connecticut,washington,74,11,,,
1997-1998,3,2,West,1,87,arizona,maryland,79,4,,,
1997-1998,3,2,West,10,62,west-virginia,utah,65,3,,,
1997-1998,3,3,Midwest,8,74,rhode-island,valparaiso,68,13,,,
1997-1998,3,3,Midwest,2,59,purdue,stanford,67,3,,,
1997-1998,3,4,South,1,80,duke,syracuse,67,5,,,
1997-1998,3,4,South,2,94,kentucky,ucla,68,6,,,
1997-1998,4,1,East,1,75,north-carolina,connecticut,64,2,,,
1997-1998,4,2,West,1,51,arizona,utah,76,3,,,
1997-1998,4,3,Midwest,8,77,rhode-island,stanford,79,3,,,
1997-1998,4,4,South,1,84,duke,kentucky,86,2,,,
1997-1998,5,1,Final Four,1,59,north-carolina,utah,65,3,,,
1997-1998,5,2,Final Four,3,85,stanford,kentucky,86,2,,,
1997-1998,6,1,Championship,3,69,utah,kentucky,78,2,,,
1998-1999,1,1,East,1,99,duke,florida-a&m,58,16,,,
1998-1999,1,1,East,2,75,miami-(fl),lafayette,54,15,,,
1998-1999,1,1,East,3,72,cincinnati,george-mason,48,14,,,
1998-1999,1,1,East,4,62,tennessee,delaware,52,13,,,
1998-1999,1,1,East,5,32,wisconsin,southeast-missouri-state,43,12,,,
1998-1999,1,1,East,6,61,temple,kent-state,54,11,,,
1998-1999,1,1,East,7,54,texas,purdue,58,10,,,
1998-1999,1,1,East,8,53,college-of-charleston,tulsa,62,9,,,
